player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Mateo Kovačić,hrCRO,MF,Manchester City,30-340,54,2.75,5,0.25
Caleb Kporha,engENG,DF,Crystal Palace,18-270,0,0.00,0,0.00
Emil Krafth,seSWE,DF,Newcastle Utd,30-252,3,1.09,0,0.00
Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-252,85,3.68,5,0.22
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-351,122,5.10,9,0.38
Maxence Lacroix,frFRA,DF,Crystal Palace,25-005,24,0.89,4,0.15
Adam Lallana,engENG,MF,Southampton,36-336,9,2.24,2,0.50
Tariq Lamptey,ghGHA,DF,Brighton,24-193,15,1.76,3,0.35
Will Lankshear,engENG,"FW,MF",Tottenham,19-356,0,0.00,0,0.00
Roméo Lavia,beBEL,MF,Chelsea,21-095,11,1.83,2,0.33
Mario Lemina,gaGAB,"MF,DF",Wolves,31-222,26,1.71,5,0.33
Bernd Leno,deGER,GK,Fulham,33-038,5,0.16,2,0.06
Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-168,39,2.04,3,0.16
Rico Lewis,engENG,"DF,MF",Manchester City,20-141,29,1.52,2,0.10
Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-048,63,2.22,7,0.25
Myles Lewis-Skelly,engENG,DF,Arsenal,18-197,17,1.65,0,0.00
Matthijs de Ligt,nlNED,DF,Manchester Utd,25-242,14,0.60,1,0.04
Pedro Lima,brBRA,DF,Wolves,18-284,4,5.14,0,0.00
Victor Lindelöf,seSWE,DF,Manchester Utd,30-268,4,1.30,0,0.00
Jesper Lindstrøm,dkDEN,FW,Everton,25-041,46,3.35,1,0.07
Valentino Livramento,engENG,DF,Newcastle Utd,22-150,32,1.36,1,0.04
Sean Longstaff,engENG,MF,Newcastle Utd,27-163,14,1.63,2,0.23
Saša Lukić,rsSRB,MF,Fulham,28-241,44,2.11,2,0.10
Joe Lumley,engENG,GK,Southampton,30-055,0,0.00,0,0.00
Massimo Luongo,auAUS,MF,Ipswich Town,32-198,0,0.00,0,0.00
Ian Maatsen,nlNED,DF,Aston Villa,23-032,44,5.59,7,0.89
Alexis Mac Allister,arARG,MF,Liverpool,26-108,104,4.09,12,0.47
James Maddison,engENG,MF,Tottenham,28-139,86,4.59,17,0.91
Noni Madueke,engENG,FW,Chelsea,23-032,62,3.64,8,0.47
Gabriel Magalhães,brBRA,DF,Arsenal,27-113,35,1.33,6,0.23
Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-338,4,3.03,1,0.76
Harry Maguire,engENG,DF,Manchester Utd,32-037,15,0.95,0,0.00
Kobbie Mainoo,engENG,MF,Manchester Utd,19-357,25,1.75,1,0.07
Tyrell Malacia,nlNED,DF,Manchester Utd,25-237,2,1.80,0,0.00
Donyell Malen,nlNED,FW,Aston Villa,26-092,3,1.15,0,0.00
Orel Mangala,beBEL,MF,Everton,27-024,24,1.72,1,0.07
Ryan Manning,ieIRL,DF,Southampton,28-301,35,2.83,1,0.08
Solly March,engENG,"MF,FW",Brighton,30-265,3,4.58,1,1.53
Omar Marmoush,egEGY,"FW,MF",Manchester City,26-063,24,3.30,1,0.14
Gabriel Martinelli,brBRA,"FW,MF",Arsenal,23-297,57,3.01,5,0.26
Emiliano Martínez,arARG,GK,Aston Villa,32-221,5,0.17,1,0.03
Lisandro Martínez,arARG,DF,Manchester Utd,27-083,26,1.34,2,0.10
Pape Matar Sarr,snSEN,MF,Tottenham,22-209,37,2.29,6,0.37
Jean-Philippe Mateta,frFRA,FW,Crystal Palace,27-287,51,2.03,7,0.28
Stephy Mavididi,engENG,FW,Leicester City,26-315,46,2.87,7,0.44
Konstantinos Mavropanos,grGRE,DF,West Ham,27-121,14,0.72,0,0.00
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-148,45,1.69,1,0.04
Bryan Mbeumo,cmCMR,FW,Brentford,25-247,117,3.78,15,0.48
James Mcatee,engENG,"MF,FW",Manchester City,22-175,1,0.63,0,0.00
Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-140,12,2.73,1,0.23
Alex McCarthy,engENG,GK,Southampton,35-129,0,0.00,0,0.00
John McGinn,sctSCO,"MF,FW",Aston Villa,30-175,62,2.96,6,0.29
Dwight McNeil,engENG,"MF,FW",Everton,25-140,60,4.72,6,0.47
Scott McTominay,sctSCO,MF,Manchester Utd,28-124,1,4.74,0,0.00
Ben Mee,engENG,DF,Brentford,35-202,0,0.00,0,0.00
Jayden Meghoma,engENG,DF,Brentford,18-287,0,0.00,0,0.00
Mikel Merino,esESP,"MF,FW",Arsenal,28-293,38,2.57,3,0.20
Shumaira Mheuka,engENG,MF,Chelsea,17-173,0,0.00,0,0.00
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-181,18,0.60,3,0.10
Lewis Miley,engENG,MF,Newcastle Utd,18-345,3,1.23,0,0.00
James Milner,engENG,MF,Brighton,39-097,8,4.26,0,0.00
Tyrone Mings,engENG,DF,Aston Villa,32-029,15,1.55,1,0.10
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-263,45,3.04,9,0.61
Tyrick Mitchell,engENG,DF,Crystal Palace,25-222,61,2.18,5,0.18
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-326,81,2.96,8,0.29
Jakub Moder,plPOL,MF,Brighton,26-004,4,32.73,0,0.00
Jeremy Monga,N/a,FW,Leicester City,N/a,1,5.29,0,0.00
Mikey Moore,engENG,"FW,MF",Tottenham,17-243,10,4.86,2,0.97
Morato,brBRA,DF,Nott'ham Forest,23-285,2,0.24,0,0.00
Álex Moreno,esESP,"DF,MF",Nott'ham Forest,31-307,11,1.14,2,0.21
Sam Morsy,egEGY,MF,Ipswich Town,33-213,35,1.47,2,0.08
Yerson Mosquera,coCOL,DF,Wolves,23-344,5,1.02,0,0.00
Mason Mount,engENG,"MF,FW",Manchester Utd,26-091,9,2.89,0,0.00
Divin Mubama,engENG,FW,Manchester City,20-168,0,0.00,0,0.00
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-096,6,3.60,0,0.00
Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-293,10,1.74,1,0.17
Rodrigo Muniz,brBRA,FW,Fulham,23-342,14,1.39,2,0.20
Daniel Muñoz,coCOL,DF,Crystal Palace,28-320,64,2.30,7,0.25
Arijanet Muric,xkKVX,GK,Ipswich Town,26-155,1,0.06,0,0.00
Murillo,brBRA,DF,Nott'ham Forest,22-281,33,1.12,1,0.03
Jacob Murphy,engENG,FW,Newcastle Utd,30-046,60,2.98,10,0.50
Vitaliy Mykolenko,uaUKR,DF,Everton,25-317,31,1.14,3,0.11
Iliman Ndiaye,snSEN,FW,Everton,25-036,56,2.56,5,0.23
Wilfred Ndidi,ngNGA,MF,Leicester City,28-116,23,1.13,3,0.15
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-116,0,0.00,0,0.00
Reiss Nelson,engENG,FW,Arsenal,25-122,0,0.00,0,0.00
Reiss Nelson,engENG,FW,Fulham,25-122,31,5.73,1,0.18
Neto,brBRA,GK,Bournemouth,35-266,0,0.00,0,0.00
Pedro Neto,ptPOR,FW,Chelsea,25-033,69,3.76,7,0.38
Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-316,23,2.76,2,0.24
Christopher Nkunku,frFRA,FW,Chelsea,27-148,33,3.24,4,0.39
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-227,34,2.50,5,0.37
Darwin Núñez,uyURU,FW,Liverpool,25-291,24,2.13,4,0.36
Ethan Nwaneri,engENG,"FW,MF",Arsenal,18-021,20,2.51,3,0.38
Christian Nørgaard,dkDEN,MF,Brentford,31-032,45,1.85,9,0.37
Jake O'Brien,ieIRL,DF,Everton,23-331,11,0.96,0,0.00
Matt O'Riley,dkDEN,MF,Brighton,24-141,24,3.98,3,0.50
Dara O'Shea,ieIRL,DF,Ipswich Town,26-038,19,0.69,3,0.11
Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-133,0,0.00,0,0.00
Wilson Odobert,frFRA,FW,Tottenham,20-134,9,1.80,1,0.20
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-345,3,1.13,0,0.00
Caleb Okoli,itITA,DF,Leicester City,23-272,4,0.35,0,0.00
Robin Olsen,seSWE,GK,Aston Villa,35-093,2,1.00,1,0.50
Amadou Onana,beBEL,MF,Aston Villa,23-238,18,1.39,3,0.23
André Onana,cmCMR,GK,Manchester Utd,29-009,4,0.13,0,0.00
Paul Onuachu,ngNGA,FW,Southampton,30-318,9,0.93,1,0.10
Frank Onyeka,ngNGA,MF,Brentford,27-100,0,0.00,0,0.00
Lewis Orford,engENG,MF,West Ham,19-052,2,3.67,0,0.00
Stefan Ortega,deGER,GK,Manchester City,32-156,0,0.00,0,0.00
William Osula,dkDEN,FW,Newcastle Utd,21-250,2,2.00,0,0.00
Dango Ouattara,bfBFA,FW,Bournemouth,23-059,59,3.15,6,0.32
Nico O’Reilly,engENG,"DF,MF",Manchester City,20-021,6,2.90,1,0.48
Alex Palmer,engENG,GK,Ipswich Town,28-244,1,0.14,0,0.00
Cole Palmer,engENG,MF,Chelsea,22-340,159,5.59,12,0.42
Emerson Palmieri,itITA,DF,West Ham,30-251,39,1.90,2,0.10
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-227,67,3.04,6,0.27
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-302,52,2.05,12,0.47
Nathan Patterson,sctSCO,"DF,FW",Everton,23-177,6,2.66,0,0.00
Andreas Pereira,brBRA,MF,Fulham,29-100,91,4.89,8,0.43
Ricardo Pereira,ptPOR,DF,Leicester City,31-187,2,0.97,0,0.00
Kalvin Phillips,engENG,MF,Ipswich Town,29-130,17,1.26,3,0.22
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-062,5,1.36,0,0.00
Jaden Philogene Bidace,engENG,"FW,DF",Ipswich Town,23-062,9,1.72,0,0.00
Jordan Pickford,engENG,GK,Everton,31-035,11,0.35,2,0.06
Ethan Pinnock,jmJAM,DF,Brentford,31-317,21,0.99,0,0.00
Daniel Podence,ptPOR,"MF,FW",Wolves,29-172,0,0.00,0,0.00
Alfie Pond,engENG,DF,Wolves,21-041,0,0.00,0,0.00
Nick Pope,engENG,GK,Newcastle Utd,32-357,4,0.20,0,0.00
Pedro Porro,esESP,DF,Tottenham,25-210,91,3.45,7,0.27
Jarell Quansah,engENG,DF,Liverpool,22-072,1,0.31,0,0.00
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-180,2,1.24,0,0.00
Aaron Ramsdale,engENG,GK,Southampton,26-332,2,0.09,0,0.00
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-318,44,2.95,6,0.40
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-162,29,2.67,1,0.09
Marcus Rashford,engENG,FW,Aston Villa,27-162,20,6.10,3,0.92
David Raya,esESP,GK,Arsenal,29-208,3,0.10,0,0.00
Harrison Reed,engENG,MF,Fulham,30-074,1,0.97,0,0.00
Remy Rees-Dottin,engENG,FW,Bournemouth,19-036,0,0.00,0,0.00
Sergio Reguilón,esESP,DF,Tottenham,28-116,1,0.73,0,0.00
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-068,12,1.69,3,0.42
Vitor Reis,brBRA,DF,Manchester City,19-089,0,0.00,0,0.00
Chadi Riad,maMAR,DF,Crystal Palace,21-298,0,0.00,0,0.00
Declan Rice,engENG,MF,Arsenal,26-087,93,3.58,7,0.27
Chris Richards,usUSA,DF,Crystal Palace,25-014,6,0.40,2,0.13
Richarlison,brBRA,FW,Tottenham,27-336,8,2.57,1,0.32
Andrew Robertson,sctSCO,DF,Liverpool,31-031,73,3.00,3,0.12
Antonee Robinson,usUSA,DF,Fulham,27-246,73,2.42,11,0.36
Rodri,esESP,MF,Manchester City,28-293,2,2.77,0,0.00
Guido Rodríguez,arARG,MF,West Ham,30-364,10,0.88,0,0.00
Mads Roerslev,dkDEN,DF,Brentford,25-291,21,1.72,2,0.16
Morgan Rogers,engENG,"FW,MF",Aston Villa,22-259,87,3.12,11,0.39
Cristian Romero,arARG,DF,Tottenham,26-349,17,1.19,2,0.14
Georginio Rutter,frFRA,"MF,FW",Brighton,22-356,64,3.47,8,0.43
José Sá,ptPOR,GK,Wolves,32-084,4,0.17,0,0.00
Bukayo Saka,engENG,"FW,MF",Arsenal,23-218,92,6.19,21,1.41
Mohamed Salah,egEGY,FW,Liverpool,32-300,135,4.42,23,0.75
William Saliba,frFRA,DF,Arsenal,24-018,21,0.74,1,0.04
Robert Sánchez,esESP,GK,Chelsea,27-144,6,0.24,2,0.08
Jadon Sancho,engENG,FW,Chelsea,25-017,59,3.35,10,0.57
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-130,5,1.61,0,0.00
Pablo Sarabia,esESP,"MF,FW",Wolves,32-335,21,3.10,3,0.44
Jeremy Sarmiento,ecECU,MF,Brighton,22-299,0,0.00,0,0.00
Ismaila Sarr,snSEN,MF,Crystal Palace,27-045,90,3.84,8,0.34
Sávio,brBRA,"FW,MF",Manchester City,21-001,105,5.73,15,0.82
Oliver Scarles,engENG,DF,West Ham,19-120,4,0.68,0,0.00
Dane Scarlett,engENG,"FW,MF",Tottenham,21-018,1,2.65,1,2.65
Kevin Schade,deGER,FW,Brentford,23-135,44,2.26,8,0.41
Fabian Schär,chSUI,DF,Newcastle Utd,33-112,24,0.97,3,0.12
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-109,7,6.06,0,0.00
Alex Scott,engENG,MF,Bournemouth,21-233,22,3.93,2,0.36
Matz Sels,beBEL,GK,Nott'ham Forest,33-044,5,0.16,0,0.00
Nélson Semedo,ptPOR,DF,Wolves,31-146,48,1.86,6,0.23
Antoine Semenyo,ghGHA,FW,Bournemouth,25-094,112,3.81,11,0.37
Marcos Senesi,arARG,DF,Bournemouth,27-336,16,1.50,1,0.09
Ryan Sessegnon,engENG,"FW,DF",Fulham,24-328,7,3.30,2,0.94
Luke Shaw,engENG,DF,Manchester Utd,29-273,0,0.00,0,0.00
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-276,0,0.00,0,0.00
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-244,76,3.21,7,0.30
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-253,29,3.39,3,0.35
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-343,0,0.00,0,0.00
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-158,0,0.00,0,0.00
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-298,14,5.29,1,0.38
Oliver Skipp,engENG,MF,Leicester City,24-207,11,1.20,0,0.00
William Smallbone,ieIRL,MF,Southampton,25-049,15,2.32,0,0.00
Adam Smith,engENG,DF,Bournemouth,33-347,14,1.10,1,0.08
Emile Smith Rowe,engENG,MF,Fulham,24-257,62,3.09,11,0.55
Dominic Solanke,engENG,FW,Tottenham,27-209,37,1.70,8,0.37
Carlos Soler,esESP,"MF,FW",West Ham,28-099,42,3.21,2,0.15
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-223,14,4.75,0,0.00
Tomáš Souček,czCZE,MF,West Ham,30-043,43,1.80,3,0.13
Boubakary Soumaré,frFRA,MF,Leicester City,26-043,33,1.72,3,0.16
Djed Spence,engENG,DF,Tottenham,24-245,23,1.66,4,0.29
Jay Stansfield,engENG,MF,Fulham,22-138,0,0.00,0,0.00
Jason Steele,engENG,GK,Brighton,34-236,0,0.00,0,0.00
Jack Stephens,engENG,DF,Southampton,31-074,10,1.01,0,0.00
Raheem Sterling,engENG,"FW,MF",Arsenal,30-124,14,3.55,2,0.51
Ross Stewart,sctSCO,"FW,MF",Southampton,28-274,2,1.29,0,0.00
Jakub Stolarczyk,plPOL,GK,Leicester City,24-113,0,0.00,0,0.00
John Stones,engENG,"DF,MF",Manchester City,30-318,8,1.31,2,0.33
Jørgen Strand Larsen,noNOR,FW,Wolves,25-064,37,1.48,4,0.16
Yukinari Sugawara,jpJPN,"DF,MF",Southampton,24-287,39,2.40,1,0.06
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,23-055,24,2.37,3,0.30
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-163,35,4.01,1,0.11
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-199,9,0.83,0,0.00
Dominik Szoboszlai,huHUN,MF,Liverpool,24-168,95,4.08,12,0.52
Matt Targett,engENG,DF,Newcastle Utd,29-205,0,0.00,0,0.00
James Tarkowski,engENG,DF,Everton,32-143,35,1.13,4,0.13
Marcus Tavernier,engENG,"FW,MF",Bournemouth,26-020,82,4.90,10,0.60
Charlie Taylor,engENG,DF,Southampton,31-205,2,0.68,1,0.34
Jack Taylor,ieIRL,MF,Ipswich Town,26-292,18,2.99,1,0.17
Mathys Tel,frFRA,FW,Tottenham,19-349,5,1.45,0,0.00
Kenny Tete,nlNED,DF,Fulham,29-184,23,1.63,3,0.21
Thiago,brBRA,FW,Brentford,23-289,2,1.36,0,0.00
Luke Thomas,engENG,DF,Leicester City,23-305,4,0.66,0,0.00
Youri Tielemans,beBEL,MF,Aston Villa,27-339,99,3.37,10,0.34
Kieran Tierney,sctSCO,"DF,FW",Arsenal,27-310,6,5.57,0,0.00
Jurriën Timber,nlNED,DF,Arsenal,23-298,50,1.95,8,0.31
Jean-Clair Todibo,frFRA,DF,West Ham,25-102,5,0.37,0,0.00
Harry Toffolo,engENG,DF,Nott'ham Forest,29-235,0,0.00,0,0.00
Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-157,1,12.86,0,0.00
Sandro Tonali,itITA,MF,Newcastle Utd,24-338,47,2.21,5,0.24
Pau Torres,esESP,DF,Aston Villa,28-085,12,0.66,2,0.11
Conor Townsend,engENG,DF,Ipswich Town,32-038,4,1.18,1,0.29
Adama Traoré,esESP,"FW,MF",Fulham,29-076,66,4.01,8,0.49
Boubacar Traoré,mlMLI,MF,Wolves,23-234,0,0.00,0,0.00
Mark Travers,ieIRL,GK,Bournemouth,25-328,0,0.00,0,0.00
Ryan Trevitt,engENG,MF,Brentford,22-030,0,0.00,0,0.00
Kieran Trippier,engENG,DF,Newcastle Utd,34-204,29,2.99,0,0.00
Leandro Trossard,beBEL,FW,Arsenal,30-128,72,3.24,6,0.27
Kostas Tsimikas,grGRE,DF,Liverpool,28-334,16,2.78,2,0.35
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-148,11,0.78,2,0.14
Destiny Udogie,itITA,DF,Tottenham,22-134,33,1.70,3,0.15
Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,24-000,23,1.44,1,0.06
Lesley Ugochukwu,frFRA,MF,Southampton,21-016,20,1.53,1,0.08
Enes Ünal,trTUR,"FW,MF",Bournemouth,27-336,9,2.35,3,0.78
Virgil van Dijk,nlNED,DF,Liverpool,33-277,38,1.23,4,0.13
Jamie Vardy,engENG,FW,Leicester City,38-090,40,1.52,9,0.34
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-256,1,0.49,0,0.00
Joël Veltman,nlNED,DF,Brighton,33-086,22,1.21,1,0.05
Micky van de Ven,nlNED,DF,Tottenham,23-357,9,0.90,2,0.20
Bart Verbruggen,nlNED,GK,Brighton,22-236,5,0.17,1,0.03
Jannik Vestergaard,dkDEN,DF,Leicester City,32-251,7,0.45,0,0.00
Guglielmo Vicario,itITA,GK,Tottenham,28-186,3,0.16,0,0.00
Carlos Vinícius,brBRA,MF,Fulham,30-017,1,22.50,0,0.00
Kyle Walker,engENG,DF,Manchester City,34-318,17,1.58,0,0.00
Kyle Walker-Peters,engENG,DF,Southampton,27-363,53,1.86,6,0.21
Christian Walton,engENG,GK,Ipswich Town,29-153,2,0.33,0,0.00
Aaron Wan-Bissaka,engENG,DF,West Ham,27-136,73,2.51,5,0.17
Danny Ward,wlsWAL,GK,Leicester City,31-293,0,0.00,0,0.00
Joel Ward,engENG,DF,Crystal Palace,35-164,0,0.00,0,0.00
James Ward-Prowse,engENG,MF,West Ham,30-161,18,2.79,1,0.15
James Ward-Prowse,engENG,MF,Nott'ham Forest,30-161,10,2.25,2,0.45
Ollie Watkins,engENG,FW,Aston Villa,29-102,45,1.89,10,0.42
Adam Webster,engENG,DF,Brighton,30-097,10,1.46,3,0.44
Danny Welbeck,engENG,FW,Brighton,34-136,39,2.20,6,0.34
Welington,brBRA,"DF,MF",Southampton,24-051,5,2.15,1,0.43
Timo Werner,deGER,"FW,MF",Tottenham,29-036,18,3.13,3,0.52
Adam Wharton,engENG,MF,Crystal Palace,20-313,50,4.46,4,0.36
Ben White,engENG,DF,Arsenal,27-185,10,1.17,1,0.12
Mats Wieffer,nlNED,MF,Brighton,25-146,20,3.50,2,0.35
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-363,39,1.79,5,0.23
Willian,brBRA,"MF,FW",Fulham,36-245,8,4.65,0,0.00
Joe Willock,engENG,"MF,FW",Newcastle Utd,25-234,37,3.95,4,0.43
Callum Wilson,engENG,FW,Newcastle Utd,33-043,6,2.61,0,0.00
Harry Wilson,wlsWAL,"FW,MF",Fulham,28-020,30,3.22,3,0.32
Harry Winks,engENG,MF,Leicester City,29-068,39,2.28,3,0.18
Ben Winterburn,engENG,"FW,MF",Bournemouth,20-219,0,0.00,0,0.00
Yoane Wissa,cdCOD,FW,Brentford,28-220,55,2.16,7,0.28
Chris Wood,nzNZL,FW,Nott'ham Forest,33-125,36,1.38,5,0.19
Nathan Wood-Gordon,engENG,DF,Southampton,22-315,3,0.43,0,0.00
Luke Woolfenden,engENG,DF,Ipswich Town,26-172,2,0.18,0,0.00
Yehor Yarmoliuk,uaUKR,MF,Brentford,21-041,17,1.63,2,0.19
Ryan Yates,engENG,MF,Nott'ham Forest,27-141,35,1.82,3,0.16
Leny Yoro,frFRA,DF,Manchester Utd,19-149,4,0.41,0,0.00
Ashley Young,engENG,"DF,FW",Everton,39-276,36,2.04,6,0.34
Illia Zabarnyi,uaUKR,DF,Bournemouth,22-222,26,0.93,0,0.00
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-117,9,2.71,1,0.30
Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-324,29,1.94,3,0.20
Martin Ødegaard,noNOR,MF,Arsenal,26-115,92,4.51,10,0.49
